"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","976","Неверный пароль возвращает ошибку","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","529","Курьер может авторизоваться с валидными логином и паролем","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","120","Запрос без пароля возвращает ошибку","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","408","Успешный запрос возвращает код 201","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","140","Создание заказа с цветом: ['GREY']","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
"","10018","В теле ответа возвращается список заказов","tests","2026-02-12","passed","2026-02-12","TestGetOrdersList","test_get_orders_list","",""
"","123","Авторизация под несуществующим пользователем возвращает ошибку","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","558","Нельзя создать двух одинаковых курьеров (дубликат логина)","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","136","Создание заказа с цветом: ['BLACK', 'GREY']","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
"","130","Создание заказа с цветом: []","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
"","593","Успешный ответ содержит ok: true","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","412","Успешный ответ содержит id","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","139","Создание заказа с цветом: ['BLACK']","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
"","462","Курьера можно создать с валидными данными","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","598","Неверный логин возвращает ошибку","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","60877","Запрос без пароля возвращает ошибку","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","538","Запрос без логина возвращает ошибку","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","0","Запрос без firstName возвращает ошибку","tests","2026-02-12","skipped","2026-02-12","TestCreateCourier","test_create_courier","",""
"","103","Запрос без логина возвращает ошибку","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
